Year,Film,Nominee,Winner
2012,Moonrise Kingdom,Wes Anderson & Roman Coppola,FALSE
2012,Zero Dark Thirty,Mark Boal,FALSE
2013,Her,Spike Jonze‡,TRUE
2013,American Hustle,David O. Russell & Eric Warren Singer,FALSE
2013,Blue Jasmine,Woody Allen,FALSE
2013,Dallas Buyers Club,Craig Borten & Melisa Wallack,FALSE
2013,Nebraska,Bob Nelson,FALSE
2014,Birdman,"Armando Bo, Alexander Dinelaris Jr., Nicolás Giacobone & Alejandro G. Iñárritu‡",TRUE
2014,Boyhood,Richard Linklater,FALSE
2014,Foxcatcher,E. Max Frye & Dan Futterman,FALSE
2014,The Grand Budapest Hotel,Screenplay: Wes Anderson; Story: Anderson & Hugo Guinness,FALSE
2014,Nightcrawler,Dan Gilroy,FALSE
2015,Spotlight,Josh Singer & Tom McCarthy‡,TRUE
2015,Bridge of Spies,Matt Charman & Coen Brothers,FALSE
2015,Ex Machina,Alex Garland,FALSE
2015,Inside Out,"Screenplay: Josh Cooley, Pete Docter & Meg LeFauve; Story: Ronnie del Carmen & Docter",FALSE
2015,Straight Outta Compton,"Screenplay: Andrea Berloff & Jonathan Herman; Story: Berloff, S. Leigh Savidge & Alan Wenkus",FALSE
2016,Manchester by the Sea,Kenneth Lonergan‡,TRUE
2016,Hell or High Water,Taylor Sheridan,FALSE
2016,La La Land,Damien Chazelle,FALSE
2016,The Lobster,Efthimis Filippou & Yorgos Lanthimos,FALSE
2016,20th Century Women,Mike Mills,FALSE
2017,Get Out,Jordan Peele‡,TRUE
2017,The Big Sick,Emily V. Gordon & Kumail Nanjiani,FALSE
2017,Lady Bird,Greta Gerwig,FALSE
2017,The Shape of Water,Screenplay: Guillermo del Toro & Vanessa Taylor; Story: del Toro,FALSE
2017,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,FALSE
2018,Green Book,"Brian Currie, Peter Farrelly & Nick Vallelonga‡",TRUE
2018,The Favourite,Deborah Davis & Tony McNamara,FALSE
2018,First Reformed,Paul Schrader,FALSE
2018,Roma,Alfonso Cuarón,FALSE
2018,Vice,Adam McKay,FALSE
2019,Parasite,Screenplay: Bong Joon-ho & Han Jin-won; Story: Bong‡,TRUE
2019,Knives Out,Rian Johnson,FALSE
2019,Marriage Story,Noah Baumbach,FALSE
2019,1917,Sam Mendes & Krysty Wilson-Cairns,FALSE
2019,Once Upon a Time in Hollywood,Quentin Tarantino,FALSE
2020,Promising Young Woman,Emerald Fennell‡,TRUE
2020,Judas and the Black Messiah,"Screenplay: Will Berson & Shaka King; Story: Berson, King, Keith & Kenny Lucas",FALSE
2020,Minari,Lee Isaac Chung,FALSE
2020,Sound of Metal,Screenplay: Abraham & Darius Marder; Story: Derek Cianfrance & D. Marder,FALSE
2020,The Trial of the Chicago 7,Aaron Sorkin,FALSE
2021,Belfast,Kenneth Branagh‡,TRUE
2021,Don't Look Up,Screenplay: Adam McKay; Story: McKay & David Sirota,FALSE
2021,King Richard,Zach Baylin,FALSE
2021,Licorice Pizza,Paul Thomas Anderson,FALSE
2021,The Worst Person in the World,Joachim Trier & Eskil Vogt,FALSE
2022,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert‡,TRUE
2022,The Banshees of Inisherin,Martin McDonagh,FALSE
2022,The Fabelmans,Tony Kushner & Steven Spielberg,FALSE
2022,Tár,Todd Field,FALSE
2022,Triangle of Sadness,Ruben Östlund,FALSE
2023,Anatomy of a Fall,Arthur Harari & Justine Triet‡,TRUE
2023,The Holdovers,David Hemingson,FALSE
2023,Maestro,Bradley Cooper & Josh Singer,FALSE
2023,May December,Screenplay: Samy Burch; Story: Burch & Alex Mechanik,FALSE
2023,Past Lives,Celine Song,FALSE
2024,Anora,Sean Baker,TRUE
2024,The Brutalist,Brady Corbet & Mona Fastvold,FALSE
2024,A Real Pain,Jesse Eisenberg,FALSE
2024,September 5,Moritz Binder & Tim Fehlbaum; Co-written by Alex David,FALSE
2024,The Substance,Coralie Fargeat,FALSE
