Year,Film,Nominee,Winner,id
2006,United 93,Paul Greengrass,FALSE,bafta-bosp.csv
2007,Juno,Diablo Cody,TRUE,bafta-bosp.csv
2007,American Gangster,Steven Zaillian,FALSE,bafta-bosp.csv
2007,The Lives of Others,Florian Henckel von Donnersmarck,FALSE,bafta-bosp.csv
2007,Michael Clayton,Tony Gilroy,FALSE,bafta-bosp.csv
2007,This Is England,Shane Meadows,FALSE,bafta-bosp.csv
2008,In Bruges,Martin McDonagh,TRUE,bafta-bosp.csv
2008,Burn After Reading,Joel Coen and Ethan Coen,FALSE,bafta-bosp.csv
2008,Changeling,J. Michael Straczynski,FALSE,bafta-bosp.csv
2008,I've Loved You So Long,Philippe Claudel,FALSE,bafta-bosp.csv
2008,Milk,Dustin Lance Black,FALSE,bafta-bosp.csv
2009,The Hurt Locker,Mark Boal,TRUE,bafta-bosp.csv
2009,The Hangover,Jon Lucas and Scott Moore,FALSE,bafta-bosp.csv
2009,Inglourious Basterds,Quentin Tarantino,FALSE,bafta-bosp.csv
2009,A Serious Man,Joel Coen and Ethan Coen,FALSE,bafta-bosp.csv
2009,Up,Pete Docter and Bob Peterson,FALSE,bafta-bosp.csv
2010,The King's Speech,David Seidler,TRUE,bafta-bosp.csv
2010,Black Swan,Mark Heyman andres Heinz and John McLaughlin,FALSE,bafta-bosp.csv
2010,The Fighter,"Scott Silver, Paul Tamasy and Eric Johnson",FALSE,bafta-bosp.csv
2010,Inception,Christopher Nolan,FALSE,bafta-bosp.csv
2010,The Kids Are All Right,Lisa Cholodenko and Stuart Blumberg,FALSE,bafta-bosp.csv
2011,The Artist,Michel Hazanavicius,TRUE,bafta-bosp.csv
2011,Bridesmaids,Kristen Wiig and Annie Mumolo,FALSE,bafta-bosp.csv
2011,The Guard,John Michael McDonagh,FALSE,bafta-bosp.csv
2011,The Iron Lady,Abi Morgan,FALSE,bafta-bosp.csv
2011,Midnight in Paris,Woody Allen,FALSE,bafta-bosp.csv
2012,Django Unchained,Quentin Tarantino,TRUE,bafta-bosp.csv
2012,Amour,Michael Haneke,FALSE,bafta-bosp.csv
2012,The Master,Paul Thomas Anderson,FALSE,bafta-bosp.csv
2012,Moonrise Kingdom,Wes Anderson and Roman Coppola,FALSE,bafta-bosp.csv
2012,Zero Dark Thirty,Mark Boal,FALSE,bafta-bosp.csv
2013,American Hustle,Eric Warren Singer and David O. Russell,TRUE,bafta-bosp.csv
2013,Blue Jasmine,Woody Allen,FALSE,bafta-bosp.csv
2013,Gravity,Alfonso Cuarón and Jonás Cuarón,FALSE,bafta-bosp.csv
2013,Inside Llewyn Davis,Joel Coen and Ethan Coen,FALSE,bafta-bosp.csv
2013,Nebraska,Bob Nelson,FALSE,bafta-bosp.csv
2014,The Grand Budapest Hotel,Wes Anderson and Hugo Guinness,TRUE,bafta-bosp.csv
2014,Birdman,"Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris Jr. and Armando Bo",FALSE,bafta-bosp.csv
2014,Boyhood,Richard Linklater,FALSE,bafta-bosp.csv
2014,Nightcrawler,Dan Gilroy,FALSE,bafta-bosp.csv
2014,Whiplash,Damien Chazelle,FALSE,bafta-bosp.csv
2015,Spotlight,Tom McCarthy and Josh Singer,TRUE,bafta-bosp.csv
2015,Bridge of Spies,"Matt Charman, Joel Coen and Ethan Coen",FALSE,bafta-bosp.csv
2015,Ex Machina,Alex Garland,FALSE,bafta-bosp.csv
2015,The Hateful Eight,Quentin Tarantino,FALSE,bafta-bosp.csv
2015,Inside Out,"Pete Docter, Josh Cooley and Meg LeFauve",FALSE,bafta-bosp.csv
2016,Manchester by the Sea,Kenneth Lonergan,TRUE,bafta-bosp.csv
2016,Hell or High Water,Taylor Sheridan,FALSE,bafta-bosp.csv
2016,"I, Daniel Blake",Paul Laverty,FALSE,bafta-bosp.csv
2016,La La Land,Damien Chazelle,FALSE,bafta-bosp.csv
2016,Moonlight,Barry Jenkins,FALSE,bafta-bosp.csv
2017,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,TRUE,bafta-bosp.csv
2017,Get Out,Jordan Peele,FALSE,bafta-bosp.csv
